Date,AAPL,AXXON,TSLA
01/01/2017,27.506428,24.549999,15.267333
08/01/2017,27.770037,25.23,15.85
15/01/2017,27.993988,24.85,16.315332
22/01/2017,28.448891,24.83,16.863333
29/01/2017,30.112202,26.27,16.755333
05/02/2017,30.821377,27.34,17.948668
12/02/2017,31.798475,26.5,18.148666
19/02/2017,32.018707,25.629999,17.133333
26/02/2017,32.74971,22.809999,16.771334
05/03/2017,32.599762,22.629999,16.246
12/03/2017,32.798901,23.389999,17.433332
19/03/2017,32.95121,22.5,17.544001
26/03/2017,33.658787,22.790001,18.553333
02/04/2017,33.583794,23.27,20.169333
09/04/2017,33.04726,22.040001,20.266666
16/04/2017,33.333092,23.690001,20.373333
23/04/2017,33.656425,24.58,20.938
30/04/2017,34.900532,24.950001,20.556667
07/05/2017,36.573395,25.99,21.653999
14/05/2017,36.009159,24.6,20.722
21/05/2017,36.138557,24.9,21.676001
28/05/2017,36.57143,24.52,22.656668
04/06/2017,35.049305,24.370001,23.821333
11/06/2017,33.470684,25.360001,24.76
18/06/2017,34.414089,26.32,25.563334
25/06/2017,33.882393,25.139999,24.107332
02/07/2017,33.92004,25.09,20.881332
09/07/2017,35.0634,25.290001,21.851999
16/07/2017,35.352776,25.26,21.893333
23/07/2017,35.171627,24.719999,22.337999
30/07/2017,36.792583,25.389999,23.794001
06/08/2017,37.049019,22.360001,23.858
13/08/2017,37.19923,22.07,23.164
20/08/2017,37.756638,21.58,23.203333
27/08/2017,38.746246,21.73,23.693333
03/09/2017,37.466118,21.639999,22.893333
10/09/2017,37.761345,22.299999,25.320667
17/09/2017,35.874233,22.65,23.406
24/09/2017,36.400917,22.67,22.74
01/10/2017,36.679626,23.719999,23.792
08/10/2017,37.07877,24.6,23.704666
15/10/2017,36.904003,23.01,23.006666
22/10/2017,38.510067,22.92,21.391333
29/10/2017,40.742008,23.41,20.406
05/11/2017,41.254539,21.16,20.199333
12/11/2017,40.331448,23.129999,21.003332
19/11/2017,41.473961,24.059999,21.036667
26/11/2017,40.544777,24.48,20.435333
03/12/2017,40.146553,24.51,21.008667
10/12/2017,41.236916,26.35,22.896667
17/12/2017,41.483437,26.440001,21.68
24/12/2017,40.113365,26.5,20.756666
31/12/2017,41.481068,26.85,21.105333
07/01/2018,41.97646,27.559999,22.414667
14/01/2018,42.301208,27.48,23.334667
21/01/2018,40.653812,27.48,22.856667
28/01/2018,38.044064,25.82,22.916668
04/02/2018,37.074589,25.280001,20.694668
11/02/2018,41.038536,28.74,22.365999
18/02/2018,41.769192,28.58,23.469999
25/02/2018,41.938175,38.75,22.341333
04/03/2018,42.835426,39.860001,21.811333
11/03/2018,42.36895,37.970001,21.423332
18/03/2018,39.255898,37.900002,20.102667
25/03/2018,39.931828,39.310001,17.742001
01/04/2018,40.074627,41.84,19.953333
08/04/2018,41.585922,42.790001,20.022667
15/04/2018,39.44154,42.700001,19.349333
22/04/2018,38.632339,41.610001,19.605333
29/04/2018,43.751736,44.549999,19.606001
06/05/2018,44.884621,57.259998,20.070667
13/05/2018,44.512966,57.950001,18.454666
20/05/2018,45.055317,63.009998,18.59
27/05/2018,45.451923,65.300003,19.454666
03/06/2018,45.800739,65.279999,21.177334
10/06/2018,45.117432,64.400002,23.878
17/06/2018,44.180874,67.650002,22.242001
24/06/2018,44.226265,63.18,22.863333
01/07/2018,44.909576,65.959999,20.593332
08/07/2018,45.712337,67.790001,21.257999
15/07/2018,45.738617,73.830002,20.905333
22/07/2018,45.628716,68.760002,19.812
29/07/2018,49.692734,69.089996,23.211332
05/08/2018,49.582821,61.470001,23.699333
12/08/2018,52.166267,64.150002,20.366667
19/08/2018,51.825825,65.550003,21.521334
26/08/2018,54.575832,68.260002,20.110666
02/09/2018,53.05817,70.459999,17.549334
09/09/2018,53.667145,73.410004,19.68
16/09/2018,52.185448,64.790001,19.940001
23/09/2018,54.122692,68.43,17.651333
30/09/2018,53.775043,62.669998,17.463333
07/10/2018,53.252369,58.860001,17.252001
14/10/2018,52.581051,58.52,17.333332
21/10/2018,51.859386,56.950001,22.059999
28/10/2018,49.744728,61.200001,23.094
04/11/2018,49.023064,52.25,23.367332
11/11/2018,46.562019,49.950001,23.620667
18/11/2018,41.451809,46.68,21.722
25/11/2018,42.965157,43.470001,23.365334
02/12/2018,40.537567,43.52,23.864668
09/12/2018,39.81337,44.650002,24.380667
16/12/2018,36.264622,41.790001,21.318001
23/12/2018,37.587891,43.029999,22.257999
30/12/2018,35.670357,46.009998,21.179333
06/01/2019,36.639954,49.450001,23.150667
13/01/2019,37.729839,50.189999,20.150667
20/01/2019,37.956001,49.099998,19.802668
27/01/2019,40.063602,50.650002,20.813999
03/02/2019,40.9995,51.43,20.386667
10/02/2019,41.177757,55.43,20.525333
17/02/2019,41.7939,55.740002,19.647333
24/02/2019,42.277145,54.450001,19.652666
03/03/2019,41.779411,46.860001,18.942667
10/03/2019,44.971275,47.959999,18.362
17/03/2019,46.162483,52.049999,17.635332
24/03/2019,45.896702,54.41,18.657333
31/03/2019,47.600151,57.73,18.330667
07/04/2019,48.051991,61.869999,17.846666
14/04/2019,49.257706,59.82,18.217333
21/04/2019,49.364021,62.860001,15.676
28/04/2019,51.164124,65.300003,17.002001
05/05/2019,47.643642,63.73,15.968
12/05/2019,45.843018,68,14.068667
19/05/2019,43.410179,67.129997,12.708667
26/05/2019,42.464218,66.779999,12.344
02/06/2019,46.121956,69.18,13.633333
