Date,AAPL,AXXON,TSLA
01/01/2017,415382000,1900200,428646000
08/01/2017,555242800,3900100,317602500
15/01/2017,465392000,3116800,304846500
22/01/2017,498157200,1865100,340341000
29/01/2017,999124800,3286800,248437500
05/02/2017,545796800,4573800,347703000
12/02/2017,546670000,2708600,489856500
19/02/2017,351635600,2568300,562777500
26/02/2017,509896000,14183300,429294000
05/03/2017,398688800,5577900,262287000
12/03/2017,486158400,4489400,443722500
19/03/2017,518696000,3585600,353245500
26/03/2017,508035600,3440600,380064000
02/04/2017,421664800,16071000,630064500
09/04/2017,349942800,4905700,430866000
16/04/2017,356994000,3737400,325974000
23/04/2017,364614800,3441100,367354500
30/04/2017,701406800,2249100,655126500
07/05/2017,693882400,7148400,469500000
14/05/2017,629419600,4199600,432417000
21/05/2017,412906000,2321500,397456500
28/05/2017,355011600,2639600,464167500
04/06/2017,636638800,2691100,803881500
11/06/2017,882121600,3188900,784522500
18/06/2017,533012000,3660500,493302000
25/06/2017,508240800,2174700,509587500
02/07/2017,316711600,1818400,852802500
09/07/2017,444353600,2093200,749191500
16/07/2017,424326400,1882500,490131000
23/07/2017,423272400,1895800,504448500
30/07/2017,691234000,2270600,791004000
06/08/2017,605076400,6978500,481876500
13/08/2017,538514000,3489000,321810000
20/08/2017,450684800,3369700,357609000
27/08/2017,504514800,2183000,275593500
03/09/2017,406640800,1968600,231438000
10/09/2017,884310000,3356200,456723000
17/09/2017,744754000,2408900,470049000
24/09/2017,619427200,2512300,468738000
01/10/2017,375137200,2109000,481096500
08/10/2017,325219200,2504000,399007500
15/10/2017,504205200,7047500,354001500
22/10/2017,489613200,3794100,462544500
29/10/2017,860709600,2444900,706041000
05/11/2017,553701600,6317700,398671500
12/11/2017,465838800,4438600,581953500
19/11/2017,324037200,3167600,355060500
26/11/2017,680394000,2756200,403759500
03/12/2017,549924400,2981000,388890000
10/12/2017,556588800,3716800,534387000
17/12/2017,470529600,2620600,402840000
24/12/2017,388655200,1061200,257760000
31/12/2017,404673600,1818500,351168000
07/01/2018,440790000,2460900,491797500
14/01/2018,510284800,1717700,362278500
21/01/2018,766299200,1793500,423645000
28/01/2018,1051968400,3561700,353721000
04/02/2018,1270616000,3550600,596550000
11/02/2018,901347600,3827900,394413000
18/02/2018,544825600,1777600,300243000
25/02/2018,808513600,18862100,407782500
04/03/2018,559410800,6866400,332847000
11/03/2018,621670000,5361600,523189500
18/03/2018,690682800,4042500,447025500
25/03/2018,634123200,2270100,876289500
01/04/2018,657635200,5483900,1312447500
08/04/2018,511486000,4924700,654877500
15/04/2018,676952800,3685100,474220500
22/04/2018,648833600,3917700,349693500
29/04/2018,1011222800,6148400,656185500
06/05/2018,593067600,10435900,460002000
13/05/2018,396995200,12187500,512287500
20/05/2018,377579600,7352400,482479500
27/05/2018,368519600,4266500,367506000
03/06/2018,467079200,6835700,781662000
10/06/2018,560749200,5336400,1002450000
17/06/2018,502417600,5319800,771780000
24/06/2018,486482000,3983500,564118500
01/07/2018,263102000,2098300,860764500
08/07/2018,340328800,3352600,503151000
15/07/2018,351736000,3389400,472749000
22/07/2018,377988800,4679100,569893500
29/07/2018,896758400,3270500,883378500
05/08/2018,486568400,8269200,1391206500
12/08/2018,557495600,2981300,773613000
19/08/2018,451300800,2293300,679056000
26/08/2018,650762400,2058000,611514000
02/09/2018,530531600,2235800,690660000
09/09/2018,792999600,2754600,698622000
16/09/2018,874984400,4106200,661948500
23/09/2018,517372400,2446900,889900500
30/09/2018,570665200,2094500,1039122000
07/10/2018,768031200,3764400,805765500
14/10/2018,594081600,2691100,587679000
21/10/2018,742398400,3219300,1394289000
28/10/2018,1082425200,2933700,705676500
04/11/2018,764797600,5829400,512368500
11/11/2018,968906000,3933400,438934500
18/11/2018,657994800,2782400,399045000
25/11/2018,854999600,4014600,407817000
02/12/2018,670107200,4020900,541831500
09/12/2018,870150800,4128200,474792000
16/12/2018,1150777200,5490300,602053500
23/12/2018,764640800,2661700,483556500
30/12/2018,887850000,3614300,484803000
06/01/2019,814824400,3257500,466321500
13/01/2019,621168000,2026000,657346500
20/01/2019,450006400,1786200,597877500
27/01/2019,809187200,1656800,632218500
03/02/2019,605593600,1803200,472473000
10/02/2019,448918400,1863300,403419000
17/02/2019,325000400,1584200,389404500
24/02/2019,483522400,7560700,897375000
03/03/2019,467119200,3683000,966886500
10/03/2019,632534000,3727900,654450000
17/03/2019,729373200,4159200,655237500
24/03/2019,671354400,2155400,586657500
31/03/2019,446161600,2190600,874015500
07/04/2019,528026800,2720500,599364000
14/04/2019,385342400,1591000,424714500
21/04/2019,389981600,1902300,1170429000
28/04/2019,745822400,3254500,1181244000
05/05/2019,694654400,4799700,612921000
12/05/2019,745662000,3933600,759798000
19/05/2019,627880400,2867400,1468485000
26/05/2019,418765600,3209200,609220500
02/06/2019,617392800,3172000,1149426000
09/06/2019,447372400,4451100,795565500
16/06/2019,526635600,7593500,775099500
23/06/2019,469474000,14600900,504468000
30/06/2019,291262800,3467900,581088000
07/07/2019,406402800,4303000,568978500
14/07/2019,349566400,2740900,610812000
21/07/2019,348612800,2413400,830764500
28/07/2019,879082000,2625400,614347500
04/08/2019,692845600,7827800,398122500
11/08/2019,644382400,4133000,484990500
18/08/2019,567620000,4095900,484900500
25/08/2019,439958400,2297600,422905500
01/09/2019,329948400,1762900,340497000
08/09/2019,701467600,2491800,504352500
